epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.146,2.06725,2.19578,1.54257,0.71299,0.66095,0.6835,0.27745,2.07611,1.52795,1.57527,0.000555109,0.000555109,0.000555109
2,195.278,2.06234,1.42673,1.57272,0.70963,0.76115,0.75807,0.29194,2.05468,1.28183,1.53656,0.00105579,0.00105579,0.00105579
3,286.693,2.05655,1.31233,1.57607,0.77141,0.76791,0.82289,0.33107,2.01247,1.17693,1.55585,0.00150146,0.00150146,0.00150146
4,378.453,2.04444,1.23604,1.55416,0.80139,0.80257,0.80289,0.31849,1.96089,1.13547,1.54831,0.00141945,0.00141945,0.00141945
5,470.423,2.01861,1.16432,1.53715,0.85374,0.86174,0.88338,0.37673,1.9522,1.00051,1.52303,0.00133693,0.00133693,0.00133693
6,561.677,2.00396,1.14204,1.52174,0.83063,0.86696,0.86784,0.37963,1.96095,1.01937,1.51649,0.00125442,0.00125442,0.00125442
7,655.121,1.9852,1.09157,1.51973,0.8428,0.88575,0.89953,0.38643,1.93623,1.00524,1.51211,0.0011719,0.0011719,0.0011719
8,748.784,1.97479,1.05953,1.50386,0.85366,0.86762,0.90828,0.38972,1.96218,0.99735,1.51376,0.00108938,0.00108938,0.00108938
9,842.744,1.96846,1.04779,1.49935,0.86846,0.8838,0.9038,0.40082,1.91089,0.96714,1.50206,0.00100687,0.00100687,0.00100687
10,936.603,1.93724,1.02976,1.48035,0.883,0.91344,0.92202,0.40958,1.93204,0.90788,1.51685,0.000924352,0.000924352,0.000924352
11,1053.44,1.9547,0.92276,1.53487,0.89567,0.90911,0.91904,0.41244,1.912,0.91116,1.4892,0.000841835,0.000841835,0.000841835
12,1145.93,1.9371,0.89731,1.52554,0.88576,0.89787,0.91327,0.40208,1.93175,0.92773,1.51439,0.000759318,0.000759318,0.000759318
13,1238.2,1.92323,0.87333,1.5169,0.88894,0.91513,0.91612,0.41621,1.90692,0.8976,1.47263,0.000676802,0.000676802,0.000676802
14,1330.45,1.9085,0.8638,1.5107,0.87777,0.91354,0.92464,0.42622,1.88474,0.88691,1.48494,0.000594286,0.000594286,0.000594286
15,1422.72,1.89915,0.8441,1.49534,0.90175,0.92956,0.92951,0.42364,1.91824,0.853,1.48475,0.000511769,0.000511769,0.000511769
16,1514.94,1.88292,0.82441,1.49075,0.90433,0.90919,0.92891,0.41875,1.90637,0.85101,1.49206,0.000429253,0.000429253,0.000429253
17,1607.18,1.87252,0.80445,1.48372,0.92259,0.93399,0.93873,0.44068,1.9024,0.79831,1.4924,0.000346736,0.000346736,0.000346736
18,1698.46,1.86387,0.79131,1.47624,0.92248,0.9409,0.94199,0.43423,1.91116,0.81364,1.48602,0.00026422,0.00026422,0.00026422
19,1789.97,1.8488,0.77558,1.47258,0.91806,0.92735,0.94052,0.43235,1.93125,0.81098,1.49302,0.000181703,0.000181703,0.000181703
20,1882.13,1.83897,0.76653,1.46579,0.92456,0.9356,0.93322,0.43002,1.92252,0.78546,1.4909,9.91865e-05,9.91865e-05,9.91865e-05
